date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_confirmed,mobility_workplaces
2021-11-16,US_AL,2301.0,2720602.0,2.0,-6.0
2021-10-28,US_MS,368.0,1544771.0,2.0,-18.0
2022-01-03,US_TN,0.0,4010333.0,28.0,-37.0
2021-09-17,US_IA,2453.0,1811220.0,0.0,-30.0
2022-02-09,US_TX,14921.0,20338914.0,6.0,-24.0
2022-04-06,US_AR,503.0,1999768.0,2.0,-5.0
2021-12-03,US_TX,44277.0,18677553.0,45.0,-17.0
2021-07-16,US_LA,5036.0,1840122.0,53.0,-26.0
2021-04-16,US_IN,33992.0,2180239.0,2.0,-19.0
2021-11-17,US_VA,8995.0,6288062.0,23.0,-12.0
2021-08-23,US_TX,34846.0,16205686.0,0.0,-20.0
2021-03-28,US_MS,787.0,704342.0,11.0,-13.0
2022-04-02,US_ID,300.0,1085790.0,0.0,8.0
2021-07-09,US_SD,588.0,451435.0,0.0,-27.0
2021-04-17,US_WV,3791.0,618208.0,3.0,-1.0
2021-11-17,US_TN,10624.0,3818543.0,13.0,-5.0
2022-05-10,US_CA,3989.0,33157242.0,24764.0,-10.0
2021-10-21,US_IA,1429.0,1863842.0,0.0,-13.0
2021-05-07,US_KS,6178.0,1266656.0,3.0,-11.0
2021-07-08,US_TX,31412.0,14154745.0,35.0,-19.0
2022-01-17,US_AL,0.0,2922396.0,74.0,-25.0
2021-03-04,US_IL,43961.0,2153991.0,17.0,-27.0
2022-03-18,US_GA,1419.0,6870209.0,2.0,1.0
2021-09-26,US_TX,18393.0,17303628.0,0.0,-30.0
2021-06-20,US_MN,3941.0,3174507.0,0.0,-13.0
2021-10-21,US_AR,1857.0,1717255.0,3.0,-10.0
2022-03-28,US_PA,4523.0,10751281.0,0.0,-6.0
2021-05-06,US_TN,14117.0,2399811.0,0.0,-21.0
2021-03-13,US_MI,0.0,1936578.0,0.0,7.0
2021-01-24,US_TX,28180.0,1502751.0,-1.0,-15.0
2021-05-26,US_ND,726.0,317453.0,7.0,-14.0
2021-09-17,US_GA,27146.0,5709654.0,56.0,-13.0
2022-01-04,US_MS,26239.0,1671819.0,56.0,-8.0
2022-03-06,US_IL,5135.0,9649569.0,0.0,-14.0
2021-08-06,US_KY,8695.0,2369450.0,15.0,-19.0
2022-02-16,US_OK,0.0,2756873.0,227.0,-11.0
2021-12-20,US_TX,16150.0,19128695.0,7.0,-22.0
2021-07-23,US_TX,41663.0,14610905.0,-1.0,-23.0
2021-06-11,US_FL,706.0,10900940.0,24.0,-38.0
2021-06-25,US_VA,882.0,4996375.0,-2.0,-21.0
2021-05-11,US_TN,9886.0,2464168.0,0.0,-11.0
2021-09-14,US_IN,9219.0,3445028.0,33.0,-27.0
2022-04-10,US_TX,8544.0,21025854.0,0.0,2.0
2022-05-12,US_MI,1211.0,6698645.0,0.0,7.0
2021-12-31,US_MS,0.0,1645580.0,0.0,-54.0
2021-06-10,US_GA,841.0,4383278.0,1.0,-23.0
2021-05-28,US_TX,73145.0,12698614.0,0.0,-33.0
2021-05-18,US_TX,135532.0,12017212.0,6.0,-32.0
2021-11-06,US_IL,15936.0,8389587.0,0.0,-5.0
2021-02-28,US_NC,69816.0,1574172.0,0.0,-13.0
2021-03-11,US_IL,60107.0,2512334.0,7.0,-22.0
2022-03-20,US_MO,206.0,4029383.0,0.0,-19.0
2021-05-27,US_TX,54542.0,12625469.0,4.0,-25.0
2021-11-15,US_PA,36489.0,10510966.0,80.0,-5.0
2021-09-23,US_TX,24141.0,17239659.0,2.0,-17.0
2022-02-08,US_GA,9796.0,6790111.0,22.0,-3.0
2021-02-03,US_MS,8400.0,222860.0,35.0,-13.0
2021-05-30,US_TX,48464.0,12804890.0,0.0,-7.0
2021-06-21,US_WI,4614.0,3087085.0,2.0,-17.0
2021-02-06,US_MS,14530.0,252569.0,2.0,-14.0
2021-09-21,US_VA,4980.0,5782438.0,8.0,33.0
2021-06-29,US_GA,70402.0,4585953.0,0.0,-20.0
2022-03-09,US_WI,831.0,4145403.0,19.0,-18.0
2021-02-11,US_TN,17960.0,595081.0,46.0,-22.0
2021-11-14,US_WV,379.0,883960.0,7.0,3.0
2021-06-18,US_TX,42872.0,13629902.0,4.0,-39.0
2022-03-29,US_KY,247.0,2937799.0,0.0,-6.0
2021-10-08,US_WV,855.0,868097.0,15.0,-9.0
2022-04-14,US_SD,342.0,672874.0,0.0,-6.0
2021-10-10,US_ND,0.0,394696.0,1.0,-13.0
2021-02-17,US_PA,75146.0,1445138.0,2.0,-32.0
2021-10-12,US_ME,1075.0,1006365.0,0.0,-17.0
2021-04-04,US_VA,70419.0,2943103.0,8.0,-20.0
2021-06-16,US_MO,1113.0,2669376.0,3.0,-16.0
2021-07-07,US_TX,22568.0,14123333.0,5.0,-28.0
2021-03-05,US_NE,0.0,332116.0,1.0,-11.0
2021-01-19,US_VA,75414.0,290146.0,248.0,-27.0
2021-05-26,US_GA,17390.0,4125559.0,4.0,-23.0
2021-09-05,US_GA,0.0,5516935.0,0.0,-46.0
2021-11-26,US_KS,0.0,1912921.0,0.0,-57.0
2022-03-30,US_LA,439.0,2820762.0,1.0,-25.0
2022-04-16,US_KS,537.0,2163374.0,0.0,-12.0
2021-01-19,US_TX,219540.0,1222952.0,0.0,-19.0
2021-12-06,US_NM,2430.0,1628368.0,2.0,-18.0
2021-02-09,US_FL,57829.0,2023419.0,44.0,-18.0
2022-04-24,US_TX,6998.0,21149437.0,0.0,-18.0
2022-02-08,US_TX,13822.0,20323993.0,1.0,-18.0
2021-02-26,US_OK,33507.0,647372.0,24.0,-19.0
2021-12-28,US_TX,21531.0,19304170.0,4.0,-57.0
2022-04-22,US_TN,798.0,4239582.0,0.0,-8.0
2022-04-14,US_NC,3578.0,8770677.0,0.0,-7.0
2022-02-06,US_PA,5942.0,10554579.0,17.0,-7.0
2021-07-07,US_TX,22568.0,14123333.0,4.0,-25.0
2021-06-13,US_TX,23404.0,13366617.0,0.0,-22.0
2022-02-11,US_NC,4790.0,8561357.0,9.0,2.0
2022-02-24,US_WI,1013.0,4133936.0,2.0,-12.0
2021-03-05,US_TX,0.0,3955205.0,0.0,-21.0
2021-12-01,US_TX,25730.0,18609823.0,1.0,-22.0
2021-01-25,US_TX,29630.0,1532381.0,0.0,-15.0
2021-12-18,US_MO,0.0,3773932.0,20.0,-13.0
2021-06-10,US_VA,12610.0,4835515.0,0.0,-58.0
2021-01-19,US_TX,219540.0,1222952.0,21.0,-24.0
2021-03-09,US_VA,51192.0,1642937.0,3.0,-40.0
2021-11-03,US_IN,2564.0,3627501.0,12.0,-1.0
2021-09-19,US_VA,18127.0,5767006.0,0.0,-15.0
2022-02-12,US_PA,15147.0,10598544.0,31.0,-7.0
2022-02-20,US_TX,0.0,20473981.0,5.0,-16.0
2022-03-14,US_TX,10382.0,20737551.0,0.0,-9.0
2021-03-10,US_GA,2064.0,1422182.0,16.0,-21.0
2022-04-09,US_MS,420.0,1766178.0,0.0,-11.0
2022-01-12,US_IL,25053.0,9339463.0,59.0,-10.0
2022-01-15,US_TX,0.0,19750011.0,16.0,-11.0
2021-12-07,US_VA,7632.0,6529116.0,6.0,-14.0
2022-05-03,US_TX,7491.0,21212552.0,0.0,-23.0
2021-02-03,US_MS,8400.0,222860.0,9.0,-20.0
2022-04-08,US_GA,299.0,6902632.0,-2.0,-40.0
2022-01-09,US_IL,29446.0,9285827.0,0.0,-26.0
2021-08-03,US_KY,3602.0,2344594.0,1.0,-25.0
2022-02-23,US_KY,1025.0,2913675.0,8.0,0.0
2021-04-28,US_TX,66361.0,10915947.0,145.0,-17.0
2021-12-10,US_TX,29577.0,18879009.0,-4.0,-20.0
2021-04-22,US_GA,26504.0,3538315.0,8.0,-14.0
2022-04-18,US_TX,5750.0,21089060.0,450.0,-23.0
2022-04-07,US_IN,1016.0,4117923.0,0.0,-10.0
2021-12-09,US_IA,3197.0,2000243.0,0.0,-13.0
2021-10-19,US_TX,14269.0,17595836.0,200.0,-18.0
2021-05-03,US_IL,63208.0,6002941.0,5.0,-13.0
2021-10-01,US_KY,4739.0,2716861.0,15.0,-17.0
2021-10-23,US_VT,340.0,493473.0,1.0,-32.0
2022-05-11,US_TX,6798.0,21269373.0,2.0,-13.0
2022-03-22,US_TX,6561.0,20826669.0,1.0,-1.0
2021-04-12,US_IN,71863.0,2092427.0,10.0,-18.0
2021-05-06,US_IL,42339.0,6073821.0,2.0,-20.0
2021-07-31,US_OH,10359.0,5828437.0,13.0,-11.0
2021-04-25,US_IL,61723.0,5679905.0,7.0,1.0
2022-01-05,US_MN,3435.0,4047025.0,26.0,-10.0
